OC(=O)C1=CC=CC(Cl)=C1
OC(=O)C1=CC(Cl)=C(Cl)C=C1
OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1
[H][C@]12C(=O)[C@H](C)C[C@@]1(O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)C=C(C)C1(CC1)[C@]2(C)O
OC1=CC=C(Cl)C=C1
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C(Cl)=C(Cl)C=C1
CCN[14C]1=N[14C](Cl)=N[14C](NC(C)C)=N1
ClC1=CC(Cl)=C(C=C1)C1=CC=C(Cl)C(Cl)=C1
[H][C@]12CO[S@@](=O)OC[C@@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl
ClC1=CC=CC(=C1)C1=C(Cl)C=CC=C1
CCOP(=O)(SC(C)CC)SC(C)CC
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl
ClC1=CC=CC(Cl)=C1Cl
CCN[14C]1=N[14C](Cl)=N[14C](NC(C)C)=N1
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)N(=O)=O
ClC1=CC=C(Cl)C(Cl)=C1Cl
CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
FC1=CC=C(C=C1)C1=CC=CC=C1
COC1=C(Cl)C=C(NC(=O)N(C)C)C=C1
CC1(C)[C@H](\C=C(/Cl)Cl)[C@H]1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
CCOP(=S)(OCC)OC1=C(Cl)C=C(Cl)C(Cl)=N1
OC(=O)C1=CC=CC=C1Cl
ClC1=CC=CC(=C1Cl)C1=C(Cl)C(Cl)=CC=C1
CSC1=NN=C(C(=O)N1N)C(C)(C)C
CCNC1=NC(NCC)=NC(Cl)=N1
ClC1=CC=C(C=C1)C1=CC=C(Cl)C=C1
CCCCC1=CN=C(C=C1)C(=O)OC
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C(Cl)=C(Cl)C=C1
NC1=CC=C(Cl)C(Cl)=C1
COP(=S)(OC)OC1=CC(C)=C(C=C1)N(=O)=O
CON(C)C(=O)NC1=CC=C(Cl)C=C1
CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1
CC1=CC(Cl)=CC=C1OCC(O)=O
[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O
CCNC1=NC(Cl)=NC(NC(C)(C)C#N)=N1
ClC1=CC=CC=C1
OC(=O)C1=CC=C(Cl)C=C1
OC\C=C\Cl
CC(O)COC1=CC=CC=C1
ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H]1O[C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(O[C@H]2O[C@H](COC(=O)CCCCCCC\C=C/CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C/CCCCCCCC)[C@H](OC(=O)CCCCCCC\C=C/CCCCCCCC)[C@H]2OC(=O)CCCCCCC\C=C/CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C/CCCCCCCC)[C@@H]1OC(=O)CCCCCCC\C=C/CCCCCCCC
Cl[H].CC1=C(Cl)C=C(N)C=C1
ClC(Cl)Cl
CNC(=O)ON=CC(C)(C)S(C)(=O)=O
ClC1=CC=C(C=C1)C1=CC=C(Cl)C=C1
ClC1=CC=CC(C2=CC=CC=C2)=C1Cl
Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H]1Cl
ClC1=CC(Cl)=C(C=C1)C1=C(Cl)C=C(Cl)C=C1Cl
CC(C)(C)C1=CC(=C(OP(OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C
[O-]C(=O)C1=CC=CC(Cl)=C1
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C(Cl)=C(Cl)C=C1
ClC1=CC=C(Cl)C(=C1)C1=CC=CC(Cl)=C1Cl
OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCN[14C]1=N[14C](Cl)=N[14C](NC(C)C)=N1
COCC(=O)NC1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C=C(Cl)C(Cl)=C1
CC(C)(C)CC(C)(C)C1=CC=C(OCCO)C=C1
CCCCCCCCCC1=CC=C(OCCOCCO)C=C1
[H][C@](C)(OC1=C(C)C=C(Cl)C=C1)C(O)=O
ClC1=CC(Cl)=CC=C1
ClC1=CC=C(Cl)C(Cl)=C1
CCOP(=S)(OCC)SCSCC
ClC1=C(Cl)C=CC=C1
CN(C)C(=O)NC1=CC=C(Cl)C=C1
[Na+].CCCCCCCCCCCCOS([O-])(=O)=O
ClC1=CC=C(C=C1Cl)C1=CC=C(Cl)C(Cl)=C1
[H][C@](C)(OC1=C(C)C=C(Cl)C=C1)C(O)=O
COC1=C(C(O)=O)C(Cl)=CC=C1Cl
CCOP(=O)(SC(C)CC)SC(C)CC
CC(C)C1=CC=C(NC(=O)N(C)C)C=C1
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H]1Cl
CCC1=CC=CC(C)=C1N
CN(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
ClC1=CC(Cl)=C(C=C1)C1=C(Cl)C=C(Cl)C=C1Cl
CNC(=O)N(C)C1=NC2=C(S1)C=CC=C2
[O-]C(=O)C1=CC=CC(Cl)=C1
ClC1=CC=C(Cl)C(Cl)=C1
Cl\C=C/Cl
CCC1=CC=CC(C)=C1N(C(C)COC)C(=O)CCl
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)N(=O)=O
OC(=O)CNCP(O)(O)=O
OC(=O)COC1=C(Cl)C=C(Cl)C=C1
CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
ClC1=CC(Cl)=C(C=C1)C1=CC=C(Cl)C=C1Cl
CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)N[14C]1=NC(OC)=CC(OC)=N1
ClC1=CC(Cl)=C(C=C1)C1=CC=C(Cl)C(Cl)=C1
CCOP(=O)(NC(C)C)OC1=CC(C)=C(SC)C=C1
CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1
CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1=C(ON=C1)C1CC1
ClC1=CC=C(C=C1)C1=C(Cl)C=C(Cl)C=C1
CCN[14C]1=N[14C](Cl)=N[14C](NC(C)C)=N1
COCC(C)OC(C)=O
ClC1=CC=CC(=C1Cl)C1=C(Cl)C(Cl)=CC=C1
OC(=O)C1=CC(Cl)=C(Cl)C=C1
CNC(=O)ON=CC(C)(C)SC
[H][C@]1(\C=C(/Cl)Cl)[C@@]([H])(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
BrCCBr
COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(CCC(F)(F)F)C=CC=C2)=N1
COC1=NC(NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl)=NC(C)=N1
ClC1=CC(Cl)=C(C=C1Cl)C1=CC(Cl)=C(Cl)C=C1Cl
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCNC1=NC(NC(C)C)=NC(Cl)=N1
ClCCCl
CC1=CC(Cl)=CC=C1OCC(O)=O
CC1(C)[C@H](\C=C(/Cl)Cl)[C@@H]1C(=O)OCC1=CC=CC(OC2=CC=CC=C2)=C1
ClC1=CC(Cl)=C(C=C1)C1=C(Cl)C=C(Cl)C=C1Cl
ClC1=CC=C(Cl)C(=C1)C1=CC=CC(Cl)=C1Cl
CC1(C)[C@H](\C=C(/Cl)Cl)[C@H]1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C12
CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@@](COC(=O)CCCCCCC\C=C\CCCCCCCC)(O[C@H]2O[C@H](COC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@H]2OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H]1OC(=O)CCCCCCC\C=C\CCCCCCCC
CCN[14C]1=N[14C](Cl)=N[14C](NC(C)C)=N1
OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OC(=O)C1=C(O)C=CC(Cl)=C1
CCOP(=O)(SC(C)CC)SC(C)CC
COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C
ClC1=CC=CC(=C1)C1=C(Cl)C=CC=C1
[O-]C(=O)C1=CC=CC(Cl)=C1
ClC1=CC=CC(=C1)C1=C(Cl)C=CC=C1
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
